sentenceId,text,aspectTerms,aspectCategories
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!","[{'term': 'appetizers', 'polarity': 'positive', 'from': '8', 'to': '18'}
 {'term': 'salads', 'polarity': 'positive', 'from': '23', 'to': '29'}
 {'term': 'steak', 'polarity': 'positive', 'from': '49', 'to': '54'}
 {'term': 'pasta', 'polarity': 'positive', 'from': '82', 'to': '87'}]","[{'category': 'food', 'polarity': 'positive'}]"
1579,And really large portions.,"[{'term': 'portions', 'polarity': 'positive', 'from': '17', 'to': '25'}]","[{'category': 'food', 'polarity': 'positive'}]"
2707,Go inside and you won't want to leave.,[],"[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3126,Save yourself the time and trouble and skip this one!,[],"[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,"[{'term': 'sweet lassi', 'polarity': 'positive', 'from': '4', 'to': '15'}
 {'term': 'lamb chettinad', 'polarity': 'positive', 'from': '41', 'to': '55'}
 {'term': 'garlic naan', 'polarity': 'positive', 'from': '64', 'to': '75'}
 {'term': 'rasamalai', 'polarity': 'negative', 'from': '84', 'to': '93'}]","[{'category': 'food', 'polarity': 'conflict'}]"
1609,Service was quick.,"[{'term': 'Service', 'polarity': 'positive', 'from': '0', 'to': '7'}]","[{'category': 'service', 'polarity': 'positive'}]"
3018,"Oh, don't even let me start with how expensive the bills were!","[{'term': 'bills', 'polarity': 'negative', 'from': '51', 'to': '56'}]","[{'category': 'price', 'polarity': 'negative'}]"
3292,Service is top notch.,"[{'term': 'Service', 'polarity': 'positive', 'from': '0', 'to': '7'}]","[{'category': 'service', 'polarity': 'positive'}]"
2041,The best thing I tasted were the lambc hops.,"[{'term': 'lambc hops', 'polarity': 'positive', 'from': '33', 'to': '43'}]","[{'category': 'food', 'polarity': 'positive'}]"
2609,Overall I would recommend it and go back again.,[],"[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1194,I've been here a couple of times and have not been impressed.,[],"[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
3440,"Even though its good seafood, the prices are too high.","[{'term': 'seafood', 'polarity': 'positive', 'from': '21', 'to': '28'}
 {'term': 'prices', 'polarity': 'negative', 'from': '34', 'to': '40'}]","[{'category': 'food', 'polarity': 'positive'}
 {'category': 'price', 'polarity': 'negative'}]"
870,"In addition, the food is very good and the prices are reasonable.","[{'term': 'food', 'polarity': 'positive', 'from': '17', 'to': '21'}
 {'term': 'prices', 'polarity': 'positive', 'from': '43', 'to': '49'}]","[{'category': 'food', 'polarity': 'positive'}
 {'category': 'price', 'polarity': 'positive'}]"
2507,The food is great and authentic.,"[{'term': 'food', 'polarity': 'positive', 'from': '4', 'to': '8'}]","[{'category': 'food', 'polarity': 'positive'}]"
586,I was at Rao's last Wed.,[],"[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.","[{'term': 'garlic shrimp', 'polarity': 'positive', 'from': '16', 'to': '29'}
 {'term': 'okra (bindi)', 'polarity': 'positive', 'from': '31', 'to': '43'}
 {'term': 'lamb', 'polarity': 'positive', 'from': '63', 'to': '67'}]","[{'category': 'food', 'polarity': 'positive'}]"
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.","[{'term': 'menu', 'polarity': 'positive', 'from': '4', 'to': '8'}
 {'term': 'burger', 'polarity': 'neutral', 'from': '55', 'to': '61'}
 {'term': 'steak', 'polarity': 'neutral', 'from': '66', 'to': '71'}
 {'term': 'escargot', 'polarity': 'neutral', 'from': '76', 'to': '84'}]","[{'category': 'food', 'polarity': 'positive'}]"
2077,very good breads as well.,"[{'term': 'breads', 'polarity': 'positive', 'from': '10', 'to': '16'}]","[{'category': 'food', 'polarity': 'positive'}]"
201,"Anyway, the food is good, the price is right and they have a decent wine list.","[{'term': 'food', 'polarity': 'positive', 'from': '12', 'to': '16'}
 {'term': 'price', 'polarity': 'positive', 'from': '30', 'to': '35'}
 {'term': 'wine list', 'polarity': 'positive', 'from': '68', 'to': '77'}]","[{'category': 'food', 'polarity': 'positive'}
 {'category': 'price', 'polarity': 'positive'}]"
3049,The food was lousy -too sweet or too salty and the portions tiny.,"[{'term': 'food', 'polarity': 'negative', 'from': '4', 'to': '8'}
 {'term': 'portions', 'polarity': 'negative', 'from': '51', 'to': '59'}]","[{'category': 'food', 'polarity': 'negative'}]"
1242,But the coconut rice was good.,"[{'term': 'coconut rice', 'polarity': 'positive', 'from': '8', 'to': '20'}]","[{'category': 'food', 'polarity': 'positive'}]"
