review_id,text,aspect,polarity,from,to,domain
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive,8,18,restaurant
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,positive,23,29,restaurant
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,positive,49,54,restaurant
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive,82,87,restaurant
1579,And really large portions.,portions,positive,17,25,restaurant
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive,4,15,restaurant
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,positive,41,55,restaurant
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive,64,75,restaurant
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative,84,93,restaurant
1609,Service was quick.,Service,positive,0,7,restaurant
3018,"Oh, don't even let me start with how expensive the bills were!",bills,negative,51,56,restaurant
3292,Service is top notch.,Service,positive,0,7,restaurant
2041,The best thing I tasted were the lambc hops.,lambc hops,positive,33,43,restaurant
3440,"Even though its good seafood, the prices are too high.",seafood,positive,21,28,restaurant
3440,"Even though its good seafood, the prices are too high.",prices,negative,34,40,restaurant
870,"In addition, the food is very good and the prices are reasonable.",food,positive,17,21,restaurant
870,"In addition, the food is very good and the prices are reasonable.",prices,positive,43,49,restaurant
2507,The food is great and authentic.,food,positive,4,8,restaurant
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive,16,29,restaurant
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),positive,31,43,restaurant
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,positive,63,67,restaurant
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,positive,4,8,restaurant
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral,55,61,restaurant
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,neutral,66,71,restaurant
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral,76,84,restaurant
2077,very good breads as well.,breads,positive,10,16,restaurant
201,"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive,12,16,restaurant
201,"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive,30,35,restaurant
201,"Anyway, the food is good, the price is right and they have a decent wine list.",wine list,positive,68,77,restaurant
3049,The food was lousy -too sweet or too salty and the portions tiny.,food,negative,4,8,restaurant
3049,The food was lousy -too sweet or too salty and the portions tiny.,portions,negative,51,59,restaurant
1242,But the coconut rice was good.,coconut rice,positive,8,20,restaurant
2211,And the Tom Kha soup was pathetic.,Tom Kha soup,negative,8,20,restaurant
3343,The food now is inconsistent.,food,negative,4,8,restaurant
2141,"Try the crunchy tuna, it is to die for.",crunchy tuna,positive,8,20,restaurant
83,Reasonable prices.,prices,positive,11,17,restaurant
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive,18,25,restaurant
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive,36,40,restaurant
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive,57,62,restaurant
1709,"Unfortunately, the food was NOT something to get worked up about.",food,negative,19,23,restaurant
193,The food is great and reasonably priced.,food,positive,4,8,restaurant
